Kombinacija,Ishod,Spin_profit,Total_profit
"src, lim, tre",fail,0.5,0.5
"kes, jag, tre",fail,0.5,1.0
"kes, tre, tre",Duple_vockice,-0.5,0.5
"tre, tre, nar",Duple_vockice,-0.5,0.0
"src, lim, gro",fail,0.5,0.5
"nar, lim, tre",fail,0.5,1.0
"lim, src, tre",fail,0.5,1.5
"gro, gro, jag",Duple_vockice,-0.5,1.0
"tre, src, tre",Duple_vockice,-0.5,0.5
"nar, gro, jag",fail,0.5,1.0
"src, tre, gro",fail,0.5,1.5
"kes, lim, tre",fail,0.5,2.0
"nar, lim, gro",fail,0.5,2.5
"jag, tre, gro",fail,0.5,3.0
"lim, lim, tre",Duple_vockice,-0.5,2.5
"jag, jag, gro",Duple_vockice,-0.5,2.0
"src, nar, nar",Duple_vockice,-0.5,1.5
"gro, gro, tre",Duple_vockice,-0.5,1.0
"tre, lim, jag",fail,0.5,1.5
"tre, src, lim",fail,0.5,2.0
"src, tre, tre",Duple_vockice,-0.5,1.5
"nar, gro, tre",fail,0.5,2.0
"kes, nar, nar",Duple_vockice,-0.5,1.5
"lim, lim, tre",Duple_vockice,-0.5,1.0
"src, nar, nar",Duple_vockice,-0.5,0.5
"jag, lim, jag",Duple_vockice,-0.5,0.0
"kes, tre, tre",Duple_vockice,-0.5,-0.5
"tre, gro, nar",fail,0.5,0.0
"tre, lim, jag",fail,0.5,0.5
"src, jag, nar",fail,0.5,1.0
"tre, gro, tre",Duple_vockice,-0.5,0.5
"gro, nar, jag",fail,0.5,1.0
"src, lim, tre",fail,0.5,1.5
"nar, lim, tre",fail,0.5,2.0
"kes, lim, tre",fail,0.5,2.5
"gro, src, tre",fail,0.5,3.0
"nar, jag, nar",Duple_vockice,-0.5,2.5
"src, kes, tre",fail,0.5,3.0
"nar, gro, nar",Duple_vockice,-0.5,2.5
"nar, nar, tre",Duple_vockice,-0.5,2.0
"gro, jag, lim",fail,0.5,2.5
"lim, gro, tre",fail,0.5,3.0
"gro, tre, tre",Duple_vockice,-0.5,2.5
"src, nar, kes",fail,0.5,3.0
"jag, lim, nar",fail,0.5,3.5
"tre, lim, jag",fail,0.5,4.0
"gro, tre, lim",fail,0.5,4.5
"tre, gro, lim",fail,0.5,5.0
"kes, lim, tre",fail,0.5,5.5
"tre, src, lim",fail,0.5,6.0
"jag, gro, tre",fail,0.5,6.5
"nar, jag, tre",fail,0.5,7.0
"tre, lim, jag",fail,0.5,7.5
"jag, gro, kes",fail,0.5,8.0
"gro, lim, kes",fail,0.5,8.5
"tre, kes, tre",Duple_vockice,-0.5,8.0
"jag, lim, gro",fail,0.5,8.5
"nar, kes, nar",Duple_vockice,-0.5,8.0
"src, lim, tre",fail,0.5,8.5
"src, tre, nar",fail,0.5,9.0
